Id,Code,City Name,City Abbr,Longitude,Latitude.City PinYin
178,C,郴州,CZ,113.014847,25.77063,chenzhou
235,C,潮州,CZ,116.622963,23.6567,chaozhou
289,C,崇左,CZ,107.364853,22.37895,chongzuo
1792,C,岑溪,CX,110.998114,22.918406,cenxi
1789,C,苍梧,CW,111.246035,23.40996,cangwu
1846,C,昌江黎族自治县,CJLZZZX,109.053351,19.260968,changjianglizuzizhixian
582,C,澄迈,CM,110.004868,19.738489,chengmai
44,C,重庆,CQ,106.550728,29.564711,chongqing
1850,C,城口,CK,108.6649,31.946293,chengkou
1870,C,苍溪,CX,105.939706,31.732251,cangxi
1886,C,长宁,CN,104.921116,28.577271,changning
14,C,成都,CD,104.064758,30.5702,chengdu
1037,C,崇州,CZ,103.67289,30.630211,chongzhou
1970,C,赤水,CS,105.698116,28.587057,chishui
2018,C,长顺,CS,106.447376,26.022116,changshun
1999,C,岑巩,CG,108.816459,27.173244,cengong
2006,C,从江,CJ,108.912648,25.747058,congjiang
1992,C,册亨,CH,105.81241,24.983338,ceheng
2040,C,昌宁,CN,99.612344,24.823662,changning
2070,C,沧源佤族自治县,CYWZZZX,99.2474,23.146887,cangyuanwazuzizhixian
2071,C,楚雄彝族自治州,CXYZZZZ,101.546046,25.041988,chuxiongyizuzizhizhou
279,C,楚雄,CX,101.545822,25.032881,chuxiong
2031,C,澄江,CJ,102.916652,24.669679,chengjiang
2151,C,昌都,CD,97.178452,31.136875,changdu
2157,C,察雅,CY,97.565701,30.653038,chaya
2170,C,措美,CM,91.432347,28.437353,cuomei
2174,C,错那,CN,91.960132,27.991707,cuona
2195,C,措勤,CQ,85.159254,31.016774,cuoqin
2202,C,察隅,CY,97.465002,28.660244,chayu
2251,C,城固,CG,107.329887,33.153098,chenggu
2232,C,澄城,CC,109.937609,35.184,chengcheng
2223,C,长武,CW,107.795835,35.206122,changwu
2225,C,淳化,CH,108.581173,34.79797,chunhua
2306,C,崇信,CX,107.031253,35.304533,chongxin
2331,C,成县,CX,105.734434,33.739863,chengxian
2391,C,称多,CD,97.110893,33.367884,chengduo
2425,C,昌吉回族自治州,CJHZZZZ,87.304012,44.014577,changjihuizuzizhizhou
267,C,昌吉,CJ,87.267487,44.01437,changji
2477,C,策勒,CL,80.803572,37.001672,cele
2483,C,察布查尔锡伯自治县,CBCEXBZZX,81.150874,43.838883,chabuchaerxibozizhixian
3,B,北京,BJ,116.407173,39.90469,beijing
596,B,霸州,BZ,116.391342,39.12709,bazhou
95,B,保定,BD,115.464592,38.873959,baoding
